Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
"Arts, Audio/Video Technology & Communications",Performing Arts,Actors,7,1.67,4,2.13,2.31,4.1,0.2402876,0.086463932,0.187218293,0.033290901,-0.081235266,45.42,16.24,3.81,0,0,20.68,0,0,0,13.86,0,0
Finance,Insurance,Actuaries,1.18,6.24,3.41,4.44,1.81,2.47,0.10456266,0.158496164,0.153370844,0.029713555,-0.110982097,0,0,0,0,0,78.57,10.71,0,0,10.71,0,0
Health Science,Therapeutic Services,Acupuncturists,2.12,3.11,1.77,5.32,4.6,5.7,0.166905393,0.115061892,0.146697613,0.056551724,-0.100835544,0,0,0,0,0,0,0,76.32,0.19,16.75,6.74,0
Health Science,Therapeutic Services,Acute Care Nurses,1.48,3.49,1.62,5.41,4.04,5.87,0.156348699,0.122670014,0.148324966,0.060433592,-0.103906892,0,0,3.57,0,50,39.29,0,7.14,0,0,0,0
Education & Training,Teaching/Training,Adapted Physical Education Specialists,2.63,3.59,1.79,3.62,4.36,7,0.16185298,0.117477164,0.16369726,0.064849935,-0.099369291,0,0,0,0,0,38.1,33.33,28.57,0,0,0,0
Manufacturing,Production,Adhesive Bonding Machine Operators and Tenders,1.14,4.25,1.12,1.97,6.54,1,0.090218477,0.125905119,0.097084894,0.02340824,-0.099001248,10.21,72.61,16.74,0.43,0,0,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Legal Services,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.57,5.39,5.24,4.01,1.04,3.04,0.119068507,0.160211927,0.190073928,0.025574174,-0.116954165,0,0,0,11.22,11.22,19.95,0,1.43,0,13.76,37.34,5.08
Business Management & Administration,Operations Management,Administrative Services Managers,1.01,6.43,6.51,2.03,1.59,3.71,0.082890038,0.176950188,0.214718045,0.024859023,-0.125324248,0,33.56,13.16,13.18,11.84,24.28,0,3.87,0.06,0,0.06,0
Education & Training,Teaching/Training,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.73,3.47,2.93,3.12,2.44,7,0.17942706,0.118431027,0.187324813,0.061009255,-0.098065227,0,11.38,0,3.28,11.38,40.84,11.38,19.76,1.99,0,0,0
Health Science,Therapeutic Services,Advanced Practice Psychiatric Nurses,2.62,3.84,1.83,5.92,2.74,5.89,0.174947461,0.119172504,0.151436077,0.058555166,-0.098603327,0,0,0,0,0,0,0,86.96,0,4.35,8.7,0
